function_name,execution_time
SAVE_OUTPUT:CLIENT_HANDLER:1:27,0.022798311998485588
RUN:CLIENT_HANDLER:1:27,0.29426343199884286
SAVE_INPUT:CLIENT_HANDLER:1:28,0.0005382070012274198
GET_INPUT:CLIENT_HANDLER:1:28,0.06811473400011891
CALL_FN:CLIENT_HANDLER:1:28,0.15922538100130623
SAVE_OUTPUT:CLIENT_HANDLER:1:28,0.02774088000296615
RUN:CLIENT_HANDLER:1:28,0.2567641170026036
SAVE_INPUT:CLIENT_HANDLER:1:29,0.0006843090013717301
GET_INPUT:CLIENT_HANDLER:1:29,0.08229782700072974
CALL_FN:CLIENT_HANDLER:1:29,0.2021831700039911
SAVE_OUTPUT:CLIENT_HANDLER:1:29,0.02847518999624299
RUN:CLIENT_HANDLER:1:29,0.31475511199823814
SAVE_INPUT:CLIENT_HANDLER:1:30,0.0006082089967094362
GET_INPUT:CLIENT_HANDLER:1:30,0.08163051800511312
CALL_FN:CLIENT_HANDLER:1:30,0.19557218000409193
SAVE_OUTPUT:CLIENT_HANDLER:1:30,0.02684236799541395
RUN:CLIENT_HANDLER:1:30,0.3057017890023417
SAVE_INPUT:CLIENT_HANDLER:1:31,0.0006086079956730828
GET_INPUT:CLIENT_HANDLER:1:31,0.0909992470042198
CALL_FN:CLIENT_HANDLER:1:31,0.1922118330039666
SAVE_OUTPUT:CLIENT_HANDLER:1:31,0.023434720998920966
RUN:CLIENT_HANDLER:1:31,0.3081571209986578
SAVE_INPUT:CLIENT_HANDLER:1:32,0.0005225080021773465
GET_INPUT:CLIENT_HANDLER:1:32,0.07674705100362189
CALL_FN:CLIENT_HANDLER:1:32,0.1727399669980514
SAVE_OUTPUT:CLIENT_HANDLER:1:32,0.022062002004531678
RUN:CLIENT_HANDLER:1:32,0.2730383409943897
SAVE_INPUT:CLIENT_HANDLER:1:33,0.0004864069996983744
GET_INPUT:CLIENT_HANDLER:1:33,0.06664301300043007
CALL_FN:CLIENT_HANDLER:1:33,0.1663931799994316
